ชื่อไทย,ชื่อสามัญ,ชื่อวิทยาศาสตร์,วงศ์ (Family),ถิ่นกำเนิด,รายละเอียด,อ้างอิง (Credit),ประเภท (Catalogy)
กุ้งมังกรเจ็ดสี,Painted spiny lobster   ,Panulirus versicolor,Palinuridae,พบกระจายพันธุ์ทั่วไปในกระแสน้ำอุ่นของมหาสมุทรแปซิฟิกและมหาสมุทรอินเดีย,"กุ้งมังกรเจ็ดสีกระดองมีลวดลายสีเขียวสีขาวและสีน้ำเงิน ลำตัวเป็นสีน้ำเงินหรือสี			เขียว มีแถบสีขาวและสีดำพาดขวางลำตัว ขาเดินมีเส้นสีขาวพาดตามยาว ส่วนต้น			ของหนวดคู่ที่ 2 เป็นสีชมพู อาศัยอยู่ตามแนวโขดหิน
กุ้งมังกรเจ็ดสี เป็นกุ้งที่มีความสำคัญทางเศรษฐกิจ เนื่องจากเนื้อมีรสชาติดี เป็นที่			ต้องการของตลาด ราคาสูง ***ความเชื่อสายมูเตลู:สัตว์มงคลที่เชื่อว่านำพาซึ่งอำนาจวาสนาบารมีร่ำรวยเงินทอง เป็นที่รักเมตตาของเจ้านาย อายุยืนยาว ชีวิตรุ่งเรืองเป็นตัวแทนของความสุขในทุกวัน  
",ภาพและข้อมูล: กองวิจัยและพัฒนาการเพาะเลี้ยงสัตว์น้ำชายฝั่ง,สัตว์ทะเล
กุ้งกุลาดำ,"Giant tiger prawn, Black tiger shrimp",Penaeus monodon,Penaeidae,พบแพร่กระจายทั่วไปในเขต Indo-west Pacific ตะวันออกและตะวันออกเฉียงใต้ของทวีปแอฟริกา รวมถึงไทย,"กุ้งกุลาดำเป็นกุ้งทะเล ลักษณะลำตัวมีสีแดงอมน้ำตาลถึงน้ำตาลเข้ม เปลือกเกลี้ยงไม่มีขน มีลายพาดขวางด้านหลังประมาณ 9 ลาย โดยมีสีออกน้ำตาลเข้มข้างแถบสีขาว ด้านบนของกรีมีฟัน 6-8 ซี่ ด้านล่างมี 2-4 ซี่ ขอบปลายหางและขาว่ายน้ำมีขนสีแดง หนวดยาวสีดำไม่มีลาย สันที่อยู่สองข้างโคนกรี ยาวเกือบถึงฟันกรีอันหลังสุด ซึ่งมีสันแนวข้างเฉียงชี้ไปทางนัยน์ตา สันกรียาวเกือบถึง carapaceขาเดินมีสีแดงปนดำขาว่ายน้ำมีสีน้ำตาลปนน้ำเงิน บริเวณโคนขามีสีขาว ขาเดินคู่ที่ห้าไม่มีexopod ในประเทศไทยกุ้งกุลาดำพบแพร่กระจายทั่วไปในอ่าวไทย แต่จะพบมากบริเวณเกาะช้าง บริเวณนอกฝั่งจังหวัดชุมพรถึงจังหวัดนครศรีธรรมราชและทะเลอันดามัน บริเวณนอกฝั่งของจังหวัดภูเก็ต และจังหวัดระนอง ชอบอาศัยอยู่ในบริเวณที่มีพื้นดินเป็นทรายปนโคลน ระดับความลึกไม่เกิน 110 เมตร ชอบฝังตัวในเวลากลางวันและหากินในเวลาคืน วางไข่ได้ตลอดทั้งปี แต่วางไข่ชุกชุมระหว่างเดือนพฤษภาคมถึงเดือนธันวาคม ในแถบน้ำกร่อยกินอาหารได้ทั้งพืชและสัตว์มีความแข็งแรงและทนทาน

***วิธีเพาะเลี้ยงและอนุบาล	
การเพาะเลี้ยงกุ้งกุลาดำจะเป็นการเลียนแบบธรรมชาติโดยการเพาะพันธุ์ยังต้องมี การขลิบตากุ้ง (บีบตา) ซึ่งเป็นเทคนิคที่นำมาใช้ในการเพาะฟักกุ้ง เพื่อช่วยเร่งให้แม่กุ้งกุลาดำมีการพัฒนาไข่ที่เร็วขึ้นโดยใช้กรรไกรหรือปากคีบบีบที่ก้านตา เพื่อทำลายเนื้อเยื่อบริเวณนั้น ควรทำด้วยความรวดเร็ว แผลจะหายภายใน 1 สัปดาห์  โดยปกติการผสมพันธุ์จะใช้วิธีทางธรรมชาติ ในส่วนการผสมเทียมนิยมใช้ในการคัดเลือกสายพันธุ์ การผสมพันธุ์จะเกิดขึ้นหลังจากกุ้งตัวเมียลอกคราบ โดยตัวผู้จะสอดถุงน้ำเชื้อเข้าไป หลังลอกคราบกุ้งตัวเมียจะเริ่มมีพัฒนาการของรังไข่ เมื่อถึงระยะไข่สุกจะพบว่าบริเวณส่วนท้องปล้องแรกจะขยายขนาดออกทั้งสองข้าง แถบยาวจะหนาขึ้นเห็นเป็นสีเขียวมะกอกขยายจนเต็มช่องท้อง นำแม่กุ้งไข่แก่ ปล่อยลงถังวางไข่200 ลิตร โดยใช้แม่กุ้งกุลาดำ 1ตัว ต่อ 1 ถัง แม่กุ้งไข่แก่จะวางไข่ตอนกลางคืน โดยจะว่ายน้ำลงไปพักอยู่ก้นบ่อและเริ่มว่ายน้ำเป็นวงกลมพร้อมกับปล่อยเชื้อตัวผู้และไข่ให้ออกมาผสมกัน เมื่อแม่กุ้งวางไข่แล้ว ให้แยกแม่กุ้งออกและดูดไข่ออกจากถังวางไข่ โดยการลักน้ำออกและใช้สวิงที่มีขนาดตา เล็กกว่า 250 ไมครอน รองรับไข่กุ้ง โดยมีสวิงที่มีขนาดตาใหญ่กว่า 350 ไมครอน อยู่ข้างบน เพื่อรองรับคราบไขมันและขี้กุ้งไม่ให้ปะปนมากับไข่กุ้ง จากนั้นนำไข่กุ้งมาล้างทำความสะอาดแล้วนำไปฟักในถัง 200 ลิตรโดยมีการให้อากาศเบาๆหลังจากแม่กุ้งวางไข่ได้ 12-14 ชั่วโมงไข่ก็จะฟักเป็นตัวอ่อนว่ายลอยอยู่บนผิวน้ำ 
",ภาพและข้อมูล: ศูนย์วิจัยและพัฒนาการเพาะเลี้ยงสัตว์น้ำชายฝั่งภูเก็ต กรมประมง,สัตว์ทะเล
กุ้งกุลาลาย กุ้งลาย กุ้งตะเข็บ,Green tiger prawn,Penaeus semisulcatus,Penaeidae,ในประเทศไทยกุ้งกุลาลายพบแพร่กระจายทั่วไปในฝั่งอ่าวไทยและฝั่งทะเลอันดามัน ,"กุ้งกุลาลายเป็นกุ้งทะเล ที่มีขนาดใหญ่ลักษณะลำตัวมีสีน้ำตาลอมเขียว มีแถบสีม่วง			อมดำพาดขวางด้านบนของกรีมีฟัน 6-8 ซี่ ด้านล่างมี 2-4 ซี่ ขอบปลายหางและ			ขาว่ายน้ำมีขนสีแดง โดยหนวดมีลักษณะเป็นลายปล้องซึ่งแตกต่างจากกุ้งกุลาดำ
มีถิ่นที่อยู่อาศัย 		ในประเทศไทยกุ้งกุลาลายพบแพร่กระจายทั่วไปในฝั่งอ่าวไทยและฝั่งทะเลอันดา			มัน ในบริเวณอ่าวพังงารวมทั้งฝั่งตะวันตกของเกาะภูเก็ต โดยเฉพาะบริเวณที่มีพื้น			ทะเลเป็นทรายความลึกน้ำ 35-40 เมตร
			ทะเลอันดามัน บริเวณนอกฝั่งของจังหวัดภูเก็ต และจังหวัดระนองชอบอาศัยอยู่ใน			บริเวณที่มีพื้นดินเป็นทรายปนโคลน ระดับความลึกไม่เกิน 110 เมตร
",ภาพและข้อมูล: กองวิจัยและพัฒนาการเพาะเลี้ยงสัตว์น้ำชายฝั่ง,สัตว์ทะเล
ปลาบอลลูน,Sailfin molly ,Poecilia latipinna,Poeciliida,ประเทศอินเดีย แคว้นแบนกัลและอัสสัม," ปลาบอลลูนเป็นปลาตระกูลปลาสอดปลาบอลลูนเป็นปลามอลลี่ที่นำมาผสมแบบเลือดชิดจนเกิดร่างกายสั้นป้อมมีอุปนิสัยอุปนิสัย : รักสงบ ชอบอยู่รวมกันเป็นฝูง ตกใจง่าย
ปลาบอลลูนจัดเป็นปลาในกลุ่มออกลูกเป็นตัวชนิดหนึ่งที่นอกจากจะเลี้ยงง่ายแล้วยังเพาะพันธุ์ง่ายด้วย การเพาะพันธุ์ปลาบอลลูนนั้นสามารถเพาะเลี้ยงได้ทั้งในบ่อซีเมนต์และในกระชัง
ปัจจุบัน ปลาบอลลูน มอลลี่ เป็นปลาสวยงามอีกชนิดหนึ่งที่คนไทยเลี้ยงเพื่อการส่งออก โดยส่งไปขายยังฮ่องกง, ไต้หวัน, สหรัฐอเมริกา ฯลฯ เนื่องจากเป็นปลาสวยงามที่มีความหลากหลายสีสันอีกชนิดหนึ่ง ถึงแม้จะมีลวดลายน้อยกว่าปลาหางนกยูง
",ภาพและข้อมูล: กองวิจัยและพัฒนาการเพาะเลี้ยงสัตว์น้ำชายฝั่ง,ปลาหางนกยูง
ปลาเงิน ปลาทอง (ฮอรันดา),Oranda goldfish,Carassius auratus,Cyprinidae,พัฒนาสายพันธุ์โดยมนุษย์ในประเทศจีน,เป็นปลาทองที่ถูกพัฒนาสายพันธุ์ระหว่างปลาทองสายพันธุ์ริวกิ้น และปลาทองสายพันธุ์หัวสิงห์ ทำให้ลักษณะเด่นลำตัวคล้ายรูปไข่หรือรูปรี ครีบทุกครีบยาวใหญ่ โดยเฉพาะครีบหางจะยาวแผ่กว้างย้วยลงมาสวยงาม ปลาทองพันธุ์นี้แบ่งเป็นพันธุ์ย่อย ๆ ได้อีก ตามลักษณะหัวและสีได้แก่ ออรันดาธรรมดา มีลำตัวค่อนข้างยาวรี หัวไม่มีวุ้น ครีบทุกครีบยาวมาก ออรันดาหัววุ้น ลำตัวและหางไม่ยาวเท่า ออรันดาธรรมดา แต่บริเวณหัวจะมีวุ้นคลุมอยู่คล้ายกับหัวปลาทองพันธุ์หัวสิงห์แต่วุ้นจะไม่ ปกคลุมส่วนของหัว ออรันดาอาจแบ่งออกได้เป็น 3 แบบ ตามลักษณะโครงสร้าง คือ 1. ออรันดาปักกิ่ง เป็นออรันดาที่มีโครงสร้างลำตัวเล็กที่สุด ขนาดลำตัวเมื่อโตเต็มวัยประมาณ 3.5-4 นิ้ว 2. ออรันดากลาง เกิดจากการผสมกันระหว่างออรันดาปักกิ่งและออรันดายักษ์ ทำให้ได้ปลาที่มีขนาดพอเหมาะลำตัวโตเต็มที่ประมาณ 5-6 นิ้ว 3. ออรันดายักษ์ เป็นปลาที่ถูกพัฒนาขึ้นมาเพื่อต้องการความใหญ่โตของตัวปลา ตอบสนองความต้องการของผู้เลี้ยงที่ต้องการจะเลี้ยงปลาทองตัวใหญ่ ๆ ส่วนใหญ่ขนาดโตเต็มที่ประมาณ 8 นิ้ว เป็นปลาทองที่โตช้า วุ้นขึ้น,ข้อมูล: กรมประมง,ปลาทอง
ปลาเทวดาดำ-เทวดาแพลตินั่ม,Angelfish,Pterophyllum scalare,Cichlidae,ลุ่มน้ำอเมซอน โอริโนโค ในประเทศบราซิล และเวเนซูเอล่า ทวีปอเมริกาใต้,มีลักษณะเด่นคือ ลำตัวมีสีเงินแวววาวทั้งลำตัว ครีบทุกครีบมีสีเงิน มีแถบสีเหลืองอ่อนจาง ๆ บริเวณครีบหลัง ครีบท้อง และครีบหาง เทวดาแพลทตินั่ม ลำตัวมีสีเงินวาวสะท้อนแสงทั้งลำตัว ครีบทุกครีบใส มีสีเงินวาว เงิน มีแถบขาวจาง ๆ บริเวณครีบหลังและครีบหาง ได้รับความนิยมเลี้ยงเป็นปลาสวยงาม ทำให้มีการเลี้ยงกันอย่างแพร่หลาย และจากการเพาะเลี้ยงและคัดพันธุ์ทำให้เกิดสายพันธุ์ใหม่ๆและมีการตั้งชื่อต่างๆอีกหลายชื่อ เช่น ปลาเทวดาเงิน (Silver Angelfish) ปลาเทวดาดำ (Black Angelfish) ปลาเทวดาลายม้าลาย (Zebra Angelfish) ปลาเทวดาลายหินอ่อน (Marble Angelfish) ปลาเทวดาสีเทา (Gray Angelfish) ปลาเทวดาสีชอกโกเลต (Chocolate Angelfish) ปลาเทวดาลายดำครึ่งตัว(Half Black Angelfish) ปลาเทวดาขาว (White or Ghost Angelfish) ปลาเทวดาทอง (Gold Angelfish) ปลาเทวดาลายจุด (Spotled Angelfish) และ Koi Angelfish ถึงแม้ปลาเทวดาจะเป็นปลาจากต่างประเทศ แต่นักเพาะเลี้ยงปลาสวยงามในบ้านเราก็สามารถดำเนินการเพาะพันธุ์ และผลิตลูกปลาเทวดาชนิดต่างๆภายในประเทศไทยได้เป็นจำนวนมาก ลักษณะการกิน กินได้ทั้ง ตัวอ่อนแมลงน้ำ ลูกน้ำ ไรน้ำ และแพลงตอนสัตว์ และอาหารเม็ด,ภาพ: https://home.kku.ac.th/pracha/Angel%20Fish.htm และ https://www.blockdit.com ข้อมูล: กรมประมง,ปลาหมอสี
ปลาทองออรันดาไทเกอร์,Tiger oranda goldfish,Carassius auratus,Cyprinidae,พัฒนาสายพันธุ์โดยมนุษย์ในประเทศญี่ปุ่น ผสมกันระหว่างปลาทองสายพันธุ์ริวกิ้น และปลาทองสายพันธุ์หัวสิงห,"ปลาทองออรันดาชนิดนี้มีการเพาะพันธุ์ได้ครั้งแรกในประเทศญี่ปุ่น
จึงเรียกว่า ออรันดาชิชิกะชิระ (Oranda shishigashira) ซึ่งแปลเป็นภาษาอังกฤษได้ว่า Dutch Lionhead เกิดจากการนำปลาทองสายพันธุ์ริวกิ้น และปลาทองสายพันธุ์หัวสิงห์มาผสมกันมีลักษณะเด่น คือ บริเวณหัวด้านบนมีวุ้นมากและวุ้นมีลักษณะละเอียดกว่าวุ้นของปลาทองหัวสิงห์ ถ้ามองจากด้านบนจะเห็นเป็นก้อนกลมหรือเหลี่ยมคล้ายปลาสวมหมวกไว้บนหัว ส่วนครีบหางมีลักษณะแผ่กว้างและไม่สั้นจนเกินไป ปลาทองออลันดาเป็นปลาทองที่มีความนิยมสูงมากในประเทศไทย เนื่องจากว่ามีราคาไม่แพง เลี้ยงง่าย และมีสีสันสวยงาม 
ความสำคัญทางเศรษฐกิจ: ปัจจุบันปลาออรันดาที่ผลิตในประเทศไทยเป็นที่ต้องการในตลาดต่างประเทศ
เป็นอย่างมาก “ปลาทองออรันดาไทเกอร์” เป็นหนึ่งในปลาทองที่มีถูกพัฒนาลวดลายให้สวยงามโดยชูลักษณะเด่นของลำตัวสีส้มแดง คาดด้วยลายบั้งสีดำพาดเป็นเส้นตรงระหว่างครีบบนไปถึงช่วงท้องคลายลายเสือพาดกลอน 
***ความเชื่อสายมูเตลู:  ปลาทองที่มีความเชื่อว่าช่วยเสริมความมั่งคั่ง ร่ำรวยเรียกโชคลาภเสริมทรัพย์สิน อีกทั้งชาวจีนมีความเชื่อว่าเสือเป็นหนึ่งในสัตว์ที่ฉลาดที่สุดจึงนิยมหยิบมาสร้างสรรค์งานศิลปะให้เป็นสื่อแทนสัญลักษณ์ของการเปลี่ยนแปลงความโกรธให้เป็นปัญญา เป็นที่เคารพยำเกรงของผู้อื่น จึงสื่อถึงการเสริมพลังอำนาจบารมี ความกล้าหาญ แข็งแกร่งให้กับผู้ที่ครอบครอง
",ภาพและข้อมูล: เอกวัฒน์นันทกุลฟาร์ม ,ปลาทอง
ฟลาวเวอร์ฮอร์น ครอสบรีด หล่อฮั่น,"Flower Horn, Crossbreed",Cichlasoma sp.,Cichlidae,เกิดจากการผสมข้ามสายพันธุ์ของมนุษย์ในประเทศมาเลเซีย จนเกิดปลาสายพันธุ์ใหม่ที่มีลักษณะเด่นมาก,"เป็นปลาหมอสีที่เกิดจากเกิดจากการผสมข้ามสายพันธุ์ (Cross Breed) จากมนุษย์ครั้งแรกในประเทศมาเลเซีย ปี พ.ศ. 2546 จากปลาหมอสีทวีปอเมริกากลางหลายชนิด เช่นปลาหมอไตรมาคู ปลาหมอซินสไปรุม ปลาหมอเรดเดวิว ปลาหมอเฟสเต ฯลฯ จนเกิดปลาสายพันธุ์ใหม่ที่มีลักษณะเด่นปลาหลอฮั่นในยุคแรกมีลักษณะเป็นทรงสี่เหลี่ยมผืนผ้า ลำตัวหนาและใหญ่ หัวโหนก ตาสีแดง ครีบและหางกางใหญ่ ลำตัวมีสีโทนเหลืองทองถึงเขียวมุก มีมาร์คกิ้งหรือลายสีดำข้างลำตัวคล้ายๆ ตัวหนังสือ และมีสีแดงที่คอและจะลามขึ้นไปจนถึงหลัง และเนื่องด้วยข้างตัวของปลามีมาร์คกิ้งเป็นลายสีดำคล้ายๆ กับตัวหนังสือภาษาจีน (บางตัวสามารถอ่านได้อย่างชัดเจน หากเป็นคำมงคล ปลาตัวนั้นๆ จะสามารถขายได้ในราคาสูงๆ) จึงทำให้ปลาตัวนี้เป็นที่นิยม ในหมู่นักเลี้ยงปลาชาวจีนเป็นอย่างมาก เพราะเชื่อว่าปลาชนิดนี้สามารถเสริมดวงชะตา และโชคลาภให้แก่ผู้เป็นเจ้าของได้ และประกอบกับที่ปลาตัวนี้จะมีหัวที่โหนกคล้ายๆ กับ เทพจ้าวแห่งความสุข (ฮก ลก ซิ่ว) จึงได้ตั้งชื่อให้กับปลาตัวนี้ว่า ปลาหลอฮั่น (อรหันต์)แต่เนื่องด้วยชื่อ
หลอฮั่นเป็นภาษาจีนทำให้ชื่อเรียกไม่ติดปากจึงได้คิดชื่อเป็นภาษาอังกฤษเพื่อเป็นการง่ายต่อการเรียกชื่อ โดยดูจากจุดเด่นของปลาอยู่ที่มีหัวโหนก มาร์คกิ้งชัดเจน ตามลำตัวมีสีและลวดลายที่สวยงาม จึงเป็นที่มาของชื่อปลา Flower Horn ลักษณะการกิน:ปลาหมอสีสามารถปรับตัวได้ดีกินอาหารง่าย จะกินอาหารจำพวกอาหารสด ลูกกุ้ง ไรทะเล ไส้เดือน หนอนแดง หรืออาหารสำเร็จรูปเพื่อความสะดวกของผู้เลี้ยง
",ภาพและข้อมูล: กรมประมง ,ปลาหมอสี
ปลาสร้อยขาว สร้อยหัวกลม กระบอก,Jullien’s mud carp,Hecorhynchus siamensis,Cyprinidae,พบในแหล่งน้ำหลาก หนองบึง และแม่น้ำขนาดใหญ่ใน ภาคกลาง ภาคเหนือ ภาคตะวันออก และภาคอีสานของไทย,"มีลำตัวเพรียวยาว หัวโตและกลมแบน  ปากเล็กอยู่เกือบ
                  ปลายสุดของจงอยปาก เกล็ดใหญ่ ลำตัวสีเงินอมเทา 
                  เหนือครีบอกมีจุดสีคล้ำ ครีบหลังเล็ก ครีบหางเว้าลึก 
                  โคนครีบหางมีจุดสีจาง ลักษณะการกิน: แพลงก์ตอน และอินทรียสารหน้าดิน
",ภาพและข้อมูล: กรมประมง,ปลาไทย
ปลาตะเพียนเงิน,Common silver barb,Barbonymus gonionotus,Cyprinidae,เป็นปลาที่มีถิ่นกำเนิดดั้งเดิมอยู่แถบแหลมอินโดจีน ชวา ไทย สุมาตรา อินเดีย ปาก,"มีลักษณะแบนข้าง เกล็ดใหญ่ หัวเล็ก ปากเล็กอยู่ทางด้าน
                  หน้าสุด สีของลำตัวเป็นสีเขียวอมฟ้า ด้านหน้าสีน้ำตาลอมเทา
                  ท้องสีขาวเงิน ครีบก้นสีเหลืองปนส้ม ลักษณะการกิน เป็นปลากินพืชเป็นหลัก เช่น สาหร่าย แพลงก์ตอน ตะไคร่น้ำ ซากสัตว์
",ภาพและข้อมูล: กรมประมง,ปลาไทย
ปลากาแดงเผื่อก,Albino rainbow shark,Epalzeorhynchos frenatum,Cyprinidae,เป็นปลาที่ได้จากการพัฒนาสายพันธุ์ หรือกลายพันธุ์เป็นเผือก,"เป็นปลากาแดงที่ได้จากการเพาะเลี้ยง ไม่มีสีลำตัว หรือเป็น
                  สีส้มอ่อน ทำให้มองเห็นลำตัวมีสีขาวหรือสีทอง จุดเด่นอยู่ที่
                  ดวงตาสีแดง  ส่วนครีบต่างๆ เป็นลักษณะเช่นเดียวกับปลากาแดง ลักษณะการกินกินได้ทั้ง ตะไคร่น้ำ ตัวอ่อนแมลงขนาดเล็ก ซากพืชและสัตว์ที่เน่าเปื่อย
",ภาพและข้อมูล: กรมประมง,ปลาไทย
เสือสุมาตราช็อตบอดี้,"Tiger barb, Sumatra barb",Puntigrus tetrazona,Cyprinidae,เป็นปลาที่ได้จากการพัฒนาสายพันธุ์โดยมนุษย์,"เป็นปลาน้ำจืดขนาดเล็ก มีพื้นลำตัวสีเหลืองอมส้มเหมือนกัน แถบดำข้างลำตัวมีทั้งหมด 4 แถบ ตัวโตเต็มที่มีขนาดไม่เกิน 7 เซนติเมตร มีอุปนิสัยคล้ายคลึงกับปลาเสือข้างลาย คือ ชอบอยู่รวมกันเป็นฝูงบริเวณกลางน้ำ ในแหล่งน้ำสะอาดที่มีพืชพรรณไม้น้ำขึ้นหนาแน่น ปลาเสือสุมาตรานั้นได้ถูกนิยมเลี้ยงเป็น
ปลาสวยงามมาช้านานแล้ว เลี้ยงง่าย เพาะขยายพันธุ์ได้ง่าย จึงมีผู้เพาะขยายออกเป็นสีสันต่าง ๆ ปลาเสือ
สุมาตรานับว่าเป็นปลาที่มีนิสัยก้าวร้าวพอสมควร มักไล่ตอดปลาชนิดอื่นที่ว่ายน้ำช้ากว่า เช่น ปลาทอง หรือ ปลาเทวดา จึงมักนิยมเลี้ยงแต่เพียงชนิดเดียว หรือเลี้ยงรวมกับปลาชนิดอื่นที่ใกล้เคียงกันโดยเฉพาะใน
ตู้พรรณไม้น้ำ ในปัจจุบันได้มีการเพาะเลี้ยงให้เกิดปลาที่มีลักษณะแปลกใหม่ เช่น ลักษณะตัวสั้น
หรือ Short Body โดยปลาจะมีลำตัวที่สั้นกว่าปกติ ลักษณะการกิน: กินตัวหนอน ลูกกุ้งตัวเล็ก ๆ ลูกน้ำ ลูกไร แมลงน้ำและเศษซากพืชและสัตว์เน่าเปื่อย ตลอดจนอาหารสำเร็จรูปเพื่อความสะดวกของผู้เลี้ยง 
",ภาพ: thien duc aquarium ข้อมูล: กรมประมง,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
จระเข้น้ำเค็ม,Saltwater crocodile,Crocodylus porosus,Crocodylidae,พบกระจายพันธุ์ตั้งแต่ภูมิภาคเอเชียใต้จนถึงเอเชียตะวันออกเฉียงใต้และประเทศออสเตรเลียทางตอนเหนือ ,"จระเข้น้ำเค็มเป็นสัตว์ที่มีถิ่นกำเนิดในประเทศไทย ในอดีตพบได้ตั้งแต่จังหวัดเพชรบุรีลงไปทางใต้ถึงจังหวัดนราธิวาส บริเวณแม่น้ำตาปีจังหวัดสุราษฎร์ธานี เคยเป็นแหล่งที่อยู่อาศัยของจระเข้น้ำเค็มที่ชุกชุมมาก ปัจจุบันในธรรมชาติพบได้น้อยมาก จระเข้น้ำเค็มมีขนาดใหญ่กว่าจระเข้น้ำจืด ตัวผู้มีความยาวถึง 4 เมตร นิสัยค่อนข้างดุกว่าจระเข้น้ำจืด

***ลักษะเด่นของสัตว์น้ำจระเข้หางหายตัวนี้เป็นความแปลกที่เป็นมาตั้งแต่เกิด เมื่อหางหายทำให้ไม่มีเครื่องมือในการทรงตัวทำให้เดินและวิ่งได้ช้า เวลาลงน้ำก็ไม่มีเครื่องมือช่วยโบกพัดให้ลอยไปข้างหน้าทำให้ว่ายน้ำไม่ได้ อยู่ในธรรมชาติได้ลำบาก ต้องได้รับการดูแลอย่างดีจึงจะมีชีวิตรอดได้

****ความเชื่อสายมูเตลู: จระเข้หางหายหรือจระเข้หางกุด สัตว์แปลกประหลาดที่เกิดมาผิดธรรมชาติ
หาพบได้ยาก คนไทยเชื่อว่าจระเข้เหล่านี้มักให้โชคลาภ ความร่ำรวย กับผู้ที่ครอบครอง 
",ภาพ: ปัญญาฟาร์ม ข้อมูล:ปัญญาฟาร์ม และกรมประมง,สัตว์ทะเล
ปลาแรด,GIANT GOURAMI,Osphronemus goramy,Osphronemidae,พบมากแถบภาคกลางตั้งแต่จังหวัดนครสวรรค์เรื่อยมาจนถึงจังหวัดพระนครศรีอยุธยาและจังหวัดเพชรบุรี และภาคใต,"ปลาแรดมีรูปร่างป้อม ลำตัวแบนข้างหัวค่อนข้างเล็กและป้าน ริมฝีปากหนาเฉียงขึ้นยืดหดได้ ภายในปากมีฟันซี่เล็ก ๆ แหลมคมเรียงอยู่ภายใน เกล็ดมีขนาดใหญ่สากมือ ครีบหลังมีจำนวนก้านครีบแข็ง             ช่วงที่ยังเป็นลูกปลามีจุดดำที่โคนหาง ฝั่งละ 1 จุด เมื่อโตมีนอที่หัวตอนบน ลำตัวค่อนข้างออกสีน้ำตาลปนดำ ลำตัวตอนล่างมีสีเงินแกมเหลือง  ส่วนจุดที่โคนหางจะเลือนหายไป ปลาแรดเพศเมียจะมีจุดสีดำที่บริเวณโคนครีบอกทั้ง 2 ข้าง ส่วนเพศผู้ไม่มี
ถิ่นที่อยู่อาศัย: ปลาแรดเป็นปลาที่ชอบอาศัยอยู่ในแหล่งน้ำนิ่งตื้นตามแม่น้ำลำคลอง หนอง บึงที่มีทางน้ำติดต่อกับแม่น้ำ เป็นปลาที่ค่อนข้างเชื่องช้าตื่นตกใจง่าย ชอบอยู่ในที่เงียบสงบมีพันธุ์ไม้น้ำที่เป็นอาหาร           สำหรับประเทศไทยพบมากแถบภาคกลางตั้งแต่จังหวัดนครสวรรค์เรื่อยมาจนถึงจังหวัดพระนครศรีอยุธยาและที่แก่งกระจานจังหวัดเพชรบุรี ภาคใต้พบแถบจังหวัดพัทลุง จังหวัดสุราษฎร์ธานีแม่น้ำตาปีและสาขา ภาคใต้เรียกว่า ปลาเม่นหรือปลามิน
**ลักษณะการกินอาหาร: ปลาแรดเป็นปลาที่กินอาหารบริเวณผิวน้ำโดยกินทั้งพืชและสัตว์ เมื่อยังมีขนาดเล็กชอบกินพืชและสัตว์ขนาดเล็กๆ เช่น แพลงก์ตอน ผำ สาหร่าย เมื่อมีขนาดตัวเต็มวัยชอบกินอาหารจำพวกพืชผักและผลไม้สุก เช่น ผักบุ้ง แหน จอก ผักกระเฉด ใบมันเทศ หญ้าอ่อน สาหร่าย กล้วยน้ำหว้า ขนุน มะละกอ เป็นต้น
**การแพร่กระจาย: ปัจจุบันพบแพร่กระจายอยู่ตามแหล่งน้ำจืดธรรมชาติทั่วไป ในประเทศแถบเอเชีย             ตะวันออกเฉียงใต้ เช่น พม่า ลาว อินโดนีเซีย มาเลเซีย ฟิลิปปินส์ อินเดีย สำหรับประเทศไทยพบทั่วไป     ตามแม่น้ำสายหลัก และสาขา อ่างเก็บน้ำ ห้วย หนอง คลอง บึงต่างๆ ในทุกภาค ซึ่งพบแพร่กระจายมากในเขตภาคกลาง ได้แก่ จังหวัดนครสวรรค์ อุทัยธานี ชัยนาท พระนครศรีอยุธยา ปทุมธานี นครปฐม ภาคใต้ ได้แก่ สุราษฎร์ธานี พัทลุง
",ภาพและข้อมูล: กรมประมง,ปลาไทย
